,이름,가격,Delivery,별점,URL,image
0,"LG전자 [MD추천] 일반 세탁기 TR12WL (12kg, 펀치물살, 3모션, 인버터모터, 위생세탁, 화이트)","362,700원",-,4.7,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0017884174,-
1,LG전자 [MD추천] 트롬 21kg 드럼세탁기 F21WDSP,"845,500원",-,4.8,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0020304615,-
2,삼성전자 [MD추천] 아가사랑 세탁기 3kg WA30T2101BV (블랙 케비어),"365,750원",-,4.7,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0013072036,-
3,"삼성전자 [MD추천] 드럼 세탁기 WF21T6000KP (21kg, 버블세탁, 삶은세탁, 무세제통세척, 이녹스)","789,570원",내일(화) 11/14 설치 예정,4.7,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0015045609,-
4,"삼성전자 [MD추천] 그랑데 통버블 일반 세탁기 WA16A6354BW (16kg, 버블폭포, 화이트)","455,050원",내일(화) 11/14 설치 예정,4.7,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0014390834,-
5,삼성전자 [MD추천] [23년도 신모델] 그랑데 통버블 16kg 일반 세탁기 WA16CG6441BW (화이트),"474,050원",-,4.8,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0020926097,-
6,"LG전자 [MD추천] 일반 세탁기 TR12WL (12kg, 펀치물살, 3모션, 인버터모터, 위생세탁, 화이트)","362,700원",-,4.7,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0017884174,-
7,LG전자 [MD추천] 트롬 21kg 드럼세탁기 F21WDSP,"845,500원",-,4.8,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0020304615,-
8,삼성전자 [MD추천] 아가사랑 세탁기 3kg WA30T2101BV (블랙 케비어),"365,750원",-,4.7,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0013072036,-
9,"삼성전자 [MD추천] 드럼 세탁기 WF21T6000KP (21kg, 버블세탁, 삶은세탁, 무세제통세척, 이녹스)","789,570원",내일(화) 11/14 설치 예정,4.7,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0015045609,-
10,"삼성전자 [MD추천] 그랑데 통버블 일반 세탁기 WA16A6354BW (16kg, 버블폭포, 화이트)","455,050원",내일(화) 11/14 설치 예정,4.7,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0014390834,-
11,-,-,-,-,-,-
12,LG전자 LG 트롬 드럼 세탁기 21kg F21VDSK,"957,970원",-,5,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0020527194,-
13,하이메이드 일반세탁기 12kg HCP-12WMG,"399,000원",-,-,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0020508152,-
14,삼성전자 비스포크 그랑데 AI 슬림 13kg 드럼 세탁기 WW13BB844DGB,"1,274,100원",-,-,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0020502642,-
15,삼성전자 비스포크 그랑데AI 25kg 드럼 세탁기 WF25CB8895BW [올인원 컨트롤],"1,860,000원",-,-,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0020218806,-
16,LG전자 통돌이 블랙라벨 플러스 일반세탁기 T19MX7A,"692,690원",-,-,-,-
17,-,-,-,-,-,-
18,샤오미 [해외직구] 샤오미 미지아 이너웨어 미니 세탁건조기 XHQB05MJ101W 화이트,"399,000원",-,-,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0020956428,-
19,삼성전자 비스포크 그랑데 AI 25kg 드럼 세탁기 WF25CB8895BV [올인원컨트롤],"1,900,000원",내일(화) 11/14 설치 예정,-,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0020926040,-
20,LG전자 오브제컬렉션 24kg 드럼세탁기 FG24VNS,"1,750,000원",-,-,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0020913881,-
21,-,-,-,-,-,-
22,-,-,-,-,-,-
23,-,-,-,-,-,-
24,삼성전자 삼성 그랑데 AI 드럼 세탁기 24kg WF24T8500KE,"964,740원",-,-,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0020339226,-
25,삼성전자 비스포크 그랑데AI 25kg 드럼 세탁기 WF25CB8895BG [올인원 컨트롤],"1,930,000원",-,-,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0020219035,-
26,삼성전자 비스포크 그랑데AI 25kg 드럼 세탁기 WF25CB8895BF [올인원 컨트롤],"1,860,000원",-,-,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0020219001,-
27,삼성전자 비스포크 그랑데AI 25kg 드럼 세탁기 WF25CB8895BE [올인원 컨트롤],"1,980,000원",내일(화) 11/14 설치 예정,-,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0020218996,-
28,삼성전자 비스포크 그랑데AI 25kg 드럼 세탁기 WF25CB8895BB [올인원컨트롤],"2,000,000원",-,-,http://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0020218824,-
29,삼성전자 비스포크 그랑데AI 25kg 드럼 세탁기 WF25CB8890BB [올인원 컨트롤],"1,850,000원",-,-,-,-
