,페이지,이름,가격,별점,링크
0,5,LG전자 트롬 드럼세탁기+미니워시 트윈워시 F21WDLPX,"1,845,700원",-,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019886336
1,5,LG전자 트롬 드럼세탁기+미니워시 트윈워시 F24WDLPX,"1,978,380원",5.0,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019886334
2,5,LG전자 트롬 드럼세탁기 F15KQAP,"954,600원",-,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019886332
3,5,LG전자 트롬 드럼세탁기 F19WDLP,"939,160원",-,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019886328
4,5,LG전자 트롬 드럼세탁기 F21WDLP,"1,077,410원",-,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019886324
5,5,LG전자 트롬 드럼세탁기 F24WDLP,"1,185,110원",-,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019886320
6,5,LG전자 오브제컬렉션 트롬 드럼세탁기 FX23KN,"1,579,050원",-,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019886318
7,5,"LG전자 미니 워시 세탁기 FX4VCQ (4KG,모던스테인리스)","750,000원",-,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019879664
8,5,"LG전자 미니 워시 세탁기 FX4KCQ (4KG, 블랙)","800,000원",-,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019879563
9,5,LG전자 트롬 15kg 드럼세탁기 F15WQWP,"690,780원",4.8,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019861068
10,5,"LG전자 [설치유형 선택] 드럼 세탁기 F9WPA [9kg, 6모션 인버터 DD모터, 화이트]","680,000원",5.0,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019825605
11,5,"LG전자 [설치유형 선택] 드럼 세탁기 FR9WP [9kg, 건조4.5kg, 6모션 인버터 DD모터, 화이트]","780,000원",-,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019824519
12,5,"LG전자 [빌트인] 드럼 세탁기 F9WPA [상판O][9kg, 6모션 인버터 DD모터, 화이트]","680,000원",-,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019824439
13,5,"LG전자 [프리스탠딩] 드럼 세탁기 F9WPA [상판O][9kg, 6모션 인버터 DD모터, 화이트]","680,000원",5.0,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019824438
14,5,"LG전자 [프리스탠딩] 드럼 세탁기 FR9WP [상판O][9kg, 건조4.5kg, 6모션 인버터 DD모터, 화이트]","780,000원",-,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019810481
15,5,"LG전자 오브제 컬렉션 드럼세탁기 FX25WSQ (25kg 대용량, 6모션세탁, 인공지능DD기술, 5방향 터보샷+, 트루스팀, 화이트)","1,900,000원",-,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019718080
16,5,"LG전자 오브제 컬렉션 드럼세탁기 FX25VSQ (25kg 대용량, 6모션세탁, 인공지능DD기술, 5방향 터보샷+, 트루스팀, 모던스테인리스)","1,950,000원",-,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019718077
17,5,"LG전자 오브제 컬렉션 드럼세탁기 FX25KSQ (25kg 대용량, 6모션세탁, 인공지능DD기술, 5방향 터보샷+, 트루스팀, 블랙)","1,590,000원",-,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019713353
18,5,이노크아든 이노크아든 프리미엄 스테인리스 탈수기 IA-DW200,"129,720원",-,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019674911
19,5,신일 신일산업 짤순이 전자식 미니탈수기 3.5kg SDM-350YNJ,"126,000원",5.0,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019674907
20,5,삼성전자 그랑데 AI 드럼세탁기 WF24T8500KV,"1,133,440원",5.0,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019648648
21,5,삼성전자 비스포크 그랑데 AI 드럼세탁기 WF21A9400KV,"1,849,970원",-,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019648623
22,5,"로퍼 로퍼 미니 세탁기 RT-450 (4kg, 자가설치)","183,208원",-,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019638566
23,5,LG전자 꼬망스 플러스 드럼세탁기 F8WV,"612,650원",5.0,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0019452390
