기준_년분기_코드,행정동_코드,행정동_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액
20232,11500,강서구,3160623 ,7 ,196544942000 ,34606803000 ,6416265000 ,2093899000 ,31754728000 ,29615573000 ,6447544000 ,4985539000 ,25650372000 ,17705002000 ,37269217000 
20232,11710,송파구,3995905 ,8 ,200981264000 ,40430085000 ,7840388000 ,4078692000 ,39623712000 ,9276542000 ,10273855000 ,5568234000 ,28050266000 ,8217527000 ,47621963000 
20232,11200,성동구,3734499 ,7 ,87762952000 ,21437027000 ,4023393000 ,1383930000 ,13783407000 ,5776216000 ,2644736000 ,2789616000 ,5093632000 ,4323419000 ,26507576000 
20232,11305,강북구,2547460 ,6 ,61629372000 ,15846136000 ,1782119000 ,1171002000 ,10614563000 ,3354150000 ,1603207000 ,2908287000 ,3851490000 ,2893375000 ,17605043000 
20232,11470,양천구,3796034 ,8 ,106593132000 ,27174250000 ,1638040000 ,1352298000 ,20034954000 ,5658841000 ,12535282000 ,2204858000 ,11333675000 ,3926932000 ,20734002000 
20232,11110,종로구,3725859 ,7 ,322465198000 ,17135821000 ,5360642000 ,1462155000 ,20348946000 ,5895507000 ,2862926000 ,4885589000 ,132125280000 ,86097493000 ,46290839000 
20232,11170,용산구,3971498 ,8 ,251906941000 ,138522461000 ,3036125000 ,11136617000 ,5262924000 ,2062308000 ,1531288000 ,3366595000 ,27467469000 ,28157574000 ,31363580000 
20232,11230,동대문구,3030256 ,7 ,92771425000 ,26134387000 ,3024473000 ,1775637000 ,21060311000 ,5930859000 ,2940372000 ,2371052000 ,5077261000 ,2422098000 ,22034975000 
20232,11380,은평구,2912739 ,6 ,90440858000 ,21718052000 ,4703400000 ,1864584000 ,19534510000 ,4170631000 ,4783802000 ,3148482000 ,4811508000 ,3799310000 ,21906579000 
20232,11680,강남구,4943841 ,9 ,2608201860000 ,45268321000 ,34562874000 ,9994466000 ,132079067000 ,28871639000 ,34820526000 ,11404132000 ,1351602285000 ,872355366000 ,87243184000 
20232,11740,강동구,3292857 ,7 ,160400134000 ,23992377000 ,2401188000 ,1749637000 ,20136909000 ,3820607000 ,6384191000 ,2829886000 ,71083053000 ,3848713000 ,24153573000 
20232,11140,중구,3513603 ,7 ,2531979244000 ,42075195000 ,8913795000 ,7144760000 ,14138006000 ,401051107000 ,26340956000 ,3428975000 ,1930139617000 ,63587763000 ,35159070000 
20232,11215,광진구,3192971 ,7 ,100682734000 ,23266587000 ,3600792000 ,2001445000 ,13356675000 ,6037433000 ,3221233000 ,4685033000 ,6941958000 ,5462494000 ,32109084000 
20232,11440,마포구,3832436 ,8 ,1048064112000 ,32858039000 ,7903297000 ,2733159000 ,19324902000 ,3533758000 ,8753098000 ,9198647000 ,900577617000 ,9063049000 ,54118546000 
20232,11530,구로구,2994059 ,7 ,1370077164000 ,26164468000 ,1900845000 ,2205880000 ,23323194000 ,3051215000 ,3700871000 ,3225919000 ,1280979252000 ,3183272000 ,22342248000 
20232,11560,영등포구,3604887 ,7 ,217071132000 ,28393936000 ,4662193000 ,2843012000 ,21866283000 ,33660002000 ,3460966000 ,4885177000 ,45612297000 ,24333894000 ,47353372000 
20232,11620,관악구,2771927 ,6 ,118122959000 ,30465580000 ,3263734000 ,1598044000 ,16862123000 ,2765241000 ,14605448000 ,5526956000 ,7047927000 ,4823787000 ,31164119000 
20232,11320,도봉구,2785111 ,6 ,50312566000 ,15453847000 ,958753000 ,982786000 ,6629347000 ,4604799000 ,2111960000 ,1365827000 ,3215991000 ,1996412000 ,12992844000 
20232,11545,금천구,2632285 ,6 ,77202759000 ,16554067000 ,17904713000 ,2220876000 ,8867352000 ,3670298000 ,1496029000 ,1933219000 ,8678606000 ,2012401000 ,13865198000 
20232,11590,동작구,3454170 ,7 ,181358479000 ,24529192000 ,1328256000 ,1530056000 ,16959825000 ,97446402000 ,4391610000 ,2765726000 ,4832237000 ,4066358000 ,23508817000 
20232,11350,노원구,3195375 ,7 ,126013453000 ,40697803000 ,1913096000 ,1354219000 ,18790032000 ,3745065000 ,8343172000 ,3395726000 ,13898650000 ,5170432000 ,28705258000 
20232,11410,서대문구,3417706 ,7 ,115632104000 ,18026889000 ,1473195000 ,775987000 ,58155067000 ,2487906000 ,3805218000 ,2057090000 ,4325422000 ,3406766000 ,21118564000 
20232,11650,서초구,4912401 ,9 ,622104358000 ,23706215000 ,5153317000 ,15691064000 ,65329794000 ,6139956000 ,13133581000 ,5218404000 ,250132768000 ,189612089000 ,47987170000 
20232,11260,중랑구,2598785 ,6 ,67707226000 ,19398815000 ,1478083000 ,1673313000 ,10937502000 ,4261059000 ,2646733000 ,3011752000 ,4064514000 ,2799571000 ,17435884000 
20232,11290,성북구,3281773 ,7 ,84121681000 ,23777800000 ,1905321000 ,1220216000 ,10920250000 ,5199854000 ,3742943000 ,2538602000 ,7282970000 ,3540481000 ,23993244000 
